Word,TFIDF
facebook,0.5288906698693743
news,0.2499077193969239
feed,0.265374637604969
algorithm,0.18102066935727243
sandvig,0.17642277452992622
users,0.1589856446185029
user,0.13972906732480575
filtering,0.13231708089744465
filter,0.11172997472971638
site,0.11080367876374382
study,0.1106022726060021
political,0.10738573681686388
sources,0.09120733779689852
stories,0.08946610397839994
social,0.0009740945055702332
pew,0.08053143781198417
modestly,0.07703038390031702
bubbles,0.07568771134652798
casual,0.07568771134652798
polarization,0.07513631650458143
nefarious,0.07240826774290897
use,0.07074540212446198
really,0.06738321424732299
traditional,0.06400297275779883
post,0.0590204835001669
posts,0.05759703798749489
important,0.057403453143204275
things,0.05612541169534681
read,0.055693055704046326
networks,0.054253007576075124
mean,0.052956087113767696
math,0.05263461175022703
shows,0.0524682765220134
good,0.052111507538344
does,0.05090626849640151
unfortunately,0.05064035950965773
wrote,0.0502184113778618
diverse,0.048585457443286635
problem,0.047416041872066134
illinois,0.04736091590603873
like,0.04682586540462652
actually,0.04652504946402665
tend,0.046448465771557985
zittrain,0.04641675171118558
rejiggers,0.04641675171118558
browser,0.04641675171118558
subscribed,0.04641675171118558
browse,0.04641675171118558
depersonalized,0.04641675171118558
ideological,0.04524740424484094
unlike,0.045073362069059764
analysis,0.044321471505497534
selectivity,0.044105693632481555
theorize,0.044105693632481555
peculiarly,0.044105693632481555
balancer,0.044105693632481555
conduits,0.044105693632481555
manipulative,0.044105693632481555
gossipy,0.044105693632481555
gander,0.044105693632481555
zeynep,0.044105693632481555
tufekci,0.044105693632481555
toggling,0.044105693632481555
survey,0.043692371694041096
source,0.043023803120237854
partisan,0.04295188148682265
highly,0.04288041077570266
alternately,0.04246597183067204
measurably,0.04246597183067204
flatter,0.04246597183067204
algorithmic,0.04246597183067204
supplementing,0.04246597183067204
newsfeed,0.04246597183067204
media,0.04194902557273382
new,0.04147332271564622
changes,0.04122540249003726
misconception,0.041194104790418996
curation,0.041194104790418996
bombarded,0.041194104790418996
enlightened,0.041194104790418996
selectively,0.041194104790418996
fiduciary,0.041194104790418996
screened,0.041194104790418996
matrix,0.041194104790418996
stalking,0.041194104790418996
inducing,0.041194104790418996
hides,0.041194104790418996
works,0.04062528808743288
percent,0.040589240057526316
incidentally,0.040154913751968016
conclusive,0.040154913751968016
filtered,0.040154913751968016
memes,0.039276290248173286
informing,0.039276290248173286
skew,0.039276290248173286
cruising,0.039276290248173286
love,0.039147020413135294
recent,0.038889318203378806
friends,0.03859572638957137
unsurprisingly,0.03784385567326399
wit,0.03784385567326399
pet,0.03784385567326399
ills,0.03784385567326399
fixes,0.03784385567326399
data,0.03779294261469049
consider,0.0377474354042261
literacy,0.037243324909905465
subtly,0.037243324909905465
unfiltered,0.037243324909905465
arises,0.037243324909905465
tweak,0.037243324909905465
waking,0.036700078754774504
sociologist,0.036700078754774504
itself,0.03633934928137377
accelerating,0.036204133871454484
biases,0.036204133871454484
hand,0.03598370217109464
ways,0.035790811933014026
twitter,0.03575262247993524
settings,0.035747908804214114
called,0.035504157266265844
participant,0.035325510367659754
pleasant,0.035325510367659754
diet,0.035325510367659754
favorites,0.035325510367659754
information,0.03519462164097594
view,-0.011506024878534263
bad,0.034220898477515305
outcry,0.034218865636140586
moderated,0.034218865636140586
reliance,0.034218865636140586
people,0.010832713895633814
slice,0.03389307579275046
talking,0.03329307471820613
accelerate,0.03329254502939193
inherently,0.03274929887426098
rail,0.03274929887426098
shed,0.03274929887426098
think,0.03266289559788848
experiment,0.032495934027452614
yield,0.032495934027452614
scholar,0.032253353990940946
sums,0.032253353990940946
deliberate,0.032253353990940946
neighbor,0.032253353990940946
overwhelmed,0.03202067798913889
control,0.031988018803292884
chambers,0.031797128923700575
university,0.031271164250557405
exposure,0.031174718016231985
transform,0.031174718016231985
meantime,0.030981486950687906
caution,0.030981486950687906
one,-0.034138020743095174
rage,0.03079459248450826
isn,0.030743196988355693
echo,0.03043824079555695
affiliate,0.03026808575562705
shocking,0.03010286344689318
urgency,0.03010286344689318
72,0.02994229591223692
mom,0.029786128046298745
doing,-0.010895976054247629
scholars,0.029634125157192773
jonathan,0.02948607084499655
sample,0.0293417651488784
ambitious,0.029201022923049033
predict,0.029063672408442195
participants,0.029063672408442195
